id,name
1,DevOps практики
2,UI/UX проектирование
3,Web-программирование
4,Алгоритмы и структуры данных
5,Анализ данных
6,Архитектура ЭВМ
7,Базы данных
8,Базы данных в информационных системах
9,Веб-технологии
10,Дискретная математика
11,Дифференциальная геометрия
12,Дифференциальные уравнения
13,Информационная безопасность
14,Компьютерные сети
15,Кроссплатформенное программирование
16,Линейная алгебра
17,Математическая логика
18,Математическая статистика
19,Математический анализ
20,Машинное обучение
21,Методы оптимизации
22,Микросервисная архитектура
23,Облачные технологии
24,Объектно-ориентированное программирование
25,Операционные системы
26,Программирование
27,Проектирование информационных систем
28,Разработка мобильных приложений
29,Системы искусственного интеллекта
30,Теория вероятностей
31,Теория графов
32,Тестирование программного обеспечения
33,Технологии программирования
34,Управление проектами
35,Функциональный анализ
36,Численные методы
