date,group_id,event_id,total_pairs,requirement
2025-09-02,3,21,1,"доска, компьютеры"
2025-09-02,1,16,4,"доска, проектор"
2025-09-02,2,31,3,"доска, компьютеры"
2025-09-02,4,10,3,доска
2025-09-02,5,5,4,"доска, проектор"
2025-09-02,6,26,2,доска
2025-09-02,8,6,1,доска
2025-09-02,7,14,2,"доска, проектор"
2025-09-02,11,32,2,"доска, компьютеры"
2025-09-02,12,15,1,"доска, компьютеры"
2025-09-02,10,34,2,доска
2025-09-02,9,3,2,доска
2025-09-03,1,21,2,"доска, проектор"
2025-09-03,4,11,2,"доска, компьютеры"
2025-09-03,2,30,3,доска
2025-09-03,8,13,3,"доска, проектор"
2025-09-03,7,5,2,доска
2025-09-03,5,26,2,"доска, компьютеры"
2025-09-03,10,2,2,доска
2025-09-03,11,32,3,доска
2025-09-03,12,3,2,"доска, компьютеры"
2025-09-04,2,18,3,"доска, компьютеры"
2025-09-04,3,12,3,доска
2025-09-04,4,30,3,доска
2025-09-04,6,9,2,доска
2025-09-04,7,13,1,доска
2025-09-04,8,20,2,"доска, компьютеры"
2025-09-04,11,3,4,"доска, компьютеры"
2025-09-04,9,8,2,доска
2025-09-04,10,22,2,"доска, компьютеры"
2025-09-05,1,36,2,"доска, компьютеры"
2025-09-05,3,30,2,доска
2025-09-05,2,31,4,"доска, проектор"
2025-09-05,4,35,2,доска
2025-09-05,5,24,3,"доска, компьютеры"
2025-09-05,6,20,3,"доска, проектор"
2025-09-05,8,6,3,доска
2025-09-05,7,13,1,"доска, компьютеры"
2025-09-05,9,1,1,"доска, проектор"
2025-09-05,10,32,2,"доска, компьютеры"
2025-09-05,12,2,4,"доска, компьютеры"
2025-09-05,11,8,1,доска
2025-09-06,1,18,2,доска
2025-09-06,2,10,3,доска
2025-09-06,3,35,3,доска
2025-09-06,8,29,1,доска
2025-09-06,6,26,3,доска
2025-09-06,7,25,3,"доска, проектор"
2025-09-06,12,1,3,доска
2025-09-06,10,23,2,"доска, компьютеры"
2025-09-06,9,32,2,"доска, компьютеры"
2025-09-08,1,10,4,доска
2025-09-08,2,16,3,"доска, проектор"
2025-09-08,4,31,2,доска
2025-09-08,6,7,3,"доска, компьютеры"
2025-09-08,8,4,3,"доска, компьютеры"
2025-09-08,5,9,1,доска
2025-09-08,12,2,2,"доска, проектор"
2025-09-08,9,32,4,доска
2025-09-08,10,23,3,доска
2025-09-09,2,11,3,"доска, проектор"
2025-09-09,1,36,4,"доска, компьютеры"
2025-09-09,3,12,3,доска
2025-09-09,8,29,2,доска
2025-09-09,6,6,3,"доска, проектор"
2025-09-09,5,25,3,"доска, проектор"
2025-09-09,12,34,1,"доска, проектор"
2025-09-09,10,33,3,"доска, компьютеры"
2025-09-09,9,28,3,"доска, компьютеры"
2025-09-10,4,19,3,доска
2025-09-10,2,10,4,доска
2025-09-10,3,12,3,доска
2025-09-10,8,25,3,доска
2025-09-10,7,13,4,доска
2025-09-10,5,14,2,"доска, проектор"
2025-09-10,11,2,3,"доска, компьютеры"
2025-09-10,10,27,3,доска
2025-09-10,12,32,2,доска
2025-09-11,1,36,2,"доска, компьютеры"
2025-09-11,4,21,2,доска
