id,capacity,equipment,number
1,27,доска,101
2,37,"доска, компьютеры",102
3,16,доска,103
4,26,"доска, компьютеры",104
5,31,доска,105
6,30,"доска, проектор",106
7,26,"доска, проектор",107
8,35,"доска, проектор",108
9,40,"доска, компьютеры",109
10,25,доска,110
11,33,доска,111
12,29,"доска, проектор",112
13,24,"доска, проектор",113
14,31,доска,114
15,17,доска,115
16,34,"доска, компьютеры",201
17,26,"доска, проектор",202
18,15,"доска, проектор",203
19,28,доска,204
20,38,доска,205
21,30,"доска, компьютеры",206
22,19,доска,207
23,15,доска,208
24,30,"доска, проектор",209
25,25,доска,210
26,26,"доска, проектор",211
27,19,доска,212
28,15,доска,213
29,26,"доска, проектор",214
30,38,"доска, проектор",215
31,33,"доска, компьютеры",301
32,27,"доска, компьютеры",302
33,20,доска,303
34,24,доска,304
35,22,доска,305
36,15,доска,306
37,19,доска,307
38,25,"доска, проектор",308
39,34,"доска, проектор",309
40,33,доска,310
41,35,"доска, компьютеры",311
42,25,"доска, проектор",312
43,15,"доска, проектор",313
44,15,"доска, проектор",314
45,43,"доска, проектор",315
46,28,"доска, компьютеры",401
47,24,"доска, проектор",402
48,15,"доска, проектор",403
49,33,"доска, проектор",404
50,26,"доска, компьютеры",405
51,15,"доска, проектор",406
52,38,"доска, проектор",407
53,19,"доска, компьютеры",408
54,36,"доска, проектор",409
55,21,доска,410
56,25,доска,411
57,27,доска,412
58,26,"доска, проектор",413
59,37,доска,414
60,28,доска,415
61,15,"доска, проектор",501
62,32,доска,502
63,21,доска,503
64,16,доска,504
65,15,"доска, проектор",505
66,30,"доска, проектор",506
67,15,"доска, компьютеры",507
68,18,доска,508
69,32,"доска, компьютеры",509
70,23,"доска, проектор",510
71,15,"доска, проектор",511
72,15,доска,512
73,23,"доска, проектор",513
74,37,доска,514
75,28,"доска, проектор",515
